s,a
0.00,23.00
1.00,24.00
2.00,25.00
3.00,26.00
4.00,27.00
5.00,28.00
6.00,29.00
7.00,30.00
8.00,31.00
9.00,32.00
10.00,33.00
11.00,34.00
12.00,35.00
13.00,36.00
14.00,37.00
15.00,38.00
16.00,39.00
17.00,40.00
18.00,41.00
19.00,42.00
20.00,43.00
21.00,44.00
22.00,45.00
23.00,46.00
24.00,47.00
25.00,48.00
26.00,49.00
27.00,50.00
28.00,51.00
29.00,52.00
30.00,53.00
31.00,54.00
32.00,55.00
33.00,56.00
34.00,57.00
35.00,58.00
36.00,59.00
37.00,60.00
38.00,61.00
39.00,62.00
40.00,63.00
41.00,64.00
42.00,65.00
43.00,66.00
44.00,67.00
45.00,68.00
46.00,69.00
47.00,70.00
48.00,71.00
49.00,72.00
50.00,73.00
51.00,74.00
52.00,75.00
53.00,76.00
54.00,77.00
55.00,78.00
56.00,79.00
57.00,80.00
58.00,81.00
59.00,82.00
60.00,83.00
61.00,84.00
62.00,85.00
63.00,86.00
64.00,87.00
65.00,88.00
66.00,89.00
67.00,90.00
68.00,91.00
69.00,92.00
70.00,93.00
71.00,94.00
72.00,95.00
73.00,96.00
74.00,97.00
75.00,98.00
76.00,99.00
77.00,100.00
78.00,101.00
79.00,102.00
80.00,103.00
81.00,104.00
82.00,105.00
83.00,106.00
84.00,107.00
85.00,108.00
86.00,109.00
87.00,110.00
88.00,111.00
89.00,112.00
90.00,113.00
91.00,114.00
92.00,115.00
93.00,116.00
94.00,117.00
95.00,118.00
96.00,119.00
97.00,120.00
98.00,121.00
99.00,122.00
