s,a
0.00,23.75
1.00,25.07
2.00,26.39
3.00,27.71
4.00,29.03
5.00,30.35
6.00,31.67
7.00,32.99
8.00,34.31
9.00,35.63
10.00,36.95
11.00,38.27
12.00,39.59
13.00,40.91
14.00,42.23
15.00,43.55
16.00,44.87
17.00,46.19
18.00,47.51
19.00,48.83
20.00,50.15
21.00,51.47
22.00,52.79
23.00,54.11
24.00,55.43
25.00,56.75
26.00,58.07
27.00,59.39
28.00,60.71
29.00,62.03
30.00,63.35
31.00,64.67
32.00,65.99
33.00,67.31
34.00,68.63
35.00,69.95
36.00,71.27
37.00,72.59
38.00,73.91
39.00,75.23
40.00,76.55
41.00,77.87
42.00,79.19
43.00,80.51
44.00,81.83
45.00,83.15
46.00,84.47
47.00,85.79
48.00,87.11
49.00,88.43
50.00,89.75
51.00,91.07
52.00,92.39
53.00,93.71
54.00,95.03
55.00,96.35
56.00,97.67
57.00,98.99
58.00,100.31
59.00,101.63
60.00,102.95
61.00,104.27
62.00,105.59
63.00,106.91
64.00,108.23
65.00,109.55
66.00,110.87
67.00,112.19
68.00,113.51
69.00,114.83
70.00,116.15
71.00,117.47
72.00,118.79
73.00,120.11
74.00,121.43
75.00,122.75
76.00,124.07
77.00,125.39
78.00,126.71
79.00,128.03
80.00,129.35
81.00,130.67
82.00,131.99
83.00,133.31
84.00,134.63
85.00,135.95
86.00,137.27
87.00,138.59
88.00,139.91
89.00,141.23
90.00,142.55
91.00,143.87
92.00,145.19
93.00,146.51
94.00,147.83
95.00,149.15
96.00,150.47
97.00,151.79
98.00,153.11
99.00,154.43
